"measure","status","current_description","replacement_description","expression"
"meas.owner_full_name","KEEP","Measure calculating owner full name. Respects the current filter context.","Calculates owner full name in the current reporting context.",""
"meas.peer_booking_amt_mtd","KEEP","Measure calculating peer booking amt mtd. Respects the current filter context.","Returns the average peer booking amount month-to-date where step is Existing Customer Selling or New Logo Selling, successful records.","var user_role = [meas.step_owner_user_role_aliased]
			var user_group = [meas.step_owner_group]
			var res = CALCULATE(
			    AVERAGEX(
			        FILTER(
			            ssr_history,
			            ssr_history[step_owner_user_role]=user_role && ssr_history[col.step_owner_group]=user_group && ssr_history[step_success] = true && ssr_history[step_name] in{""Existing Customer Selling"", ""New Logo Selling""}
			        )
			        , ssr_history[opp_booking_amt]), 
			    ALL())
			
			return res"
"meas.pipeline_amt","KEEP","Measure calculating pipeline amt. Respects the current filter context.","Summarizes pipeline amount.","CALCULATE(SUM(ssr_history[opp_pipeline_amt]), ALLEXCEPT(ssr_history, ssr_history[step_name]))"
"meas.pipeline_amt_sum","KEEP","Measure calculating pipeline amt sum. Respects the current filter context.","Summarizes pipeline amount sum.","CALCULATE(SUM(ssr_history[opp_pipeline_amt]))"
"meas.sales_booking_amt","KEEP","Measure calculating sales booking amt. Respects the current filter context.","Calculates sales booking amount in the current reporting context.",""
"meas.ssr_first_touch_date","KEEP","Measure calculating ssr first touch date. Respects the current filter context.","Returns ssr first touch date.","-- function that through multiple steps get the most recent records in a table for each coid and then allow u to do agg ops on it 
			var sel_date = [meas.sel_date] // get the selected date 
			
			var _max_date = MAXX(ssr, ssr[trueai_first_touch])
			var res = IF(
			    _max_date>sel_date,
			    BLANK(),
			    _max_date
			)
			
			RETURN
			res"
"meas.ssr_history_acct_count_existing_customer_selling","KEEP","Count of ssr history acct count existing customer selling. Respects the current filter context.","Calculates the number of accounts in Existing Customer Selling where step is Existing Customer Selling.","CALCULATE(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), ssr_history[step_name] =""Existing Customer Selling"")     /// getting the distinct count of id for existing customer selling"
"meas.ssr_history_acct_count_new_logo","KEEP","Count of ssr history acct count new logo. Respects the current filter context.","Calculates the number of accounts in New Logo Selling where step is New Logo Selling.","CALCULATE(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), ssr_history[step_name] =""New Logo Selling"")       //getting the distinct count of id for New Logo Selling"
"meas.ssr_history_acct_count_post_sales","KEEP","Count of ssr history acct count post sales. Respects the current filter context.","Calculates the number of accounts in Post-Sales Support where step is Post-Sales Support.","CALCULATE(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), ssr_history[step_name] =""Post-Sales Support"")       // gettting the disticnt count of id for Post-Sales Support"
"meas.ssr_history_acct_count_prospecting","KEEP","Count of ssr history acct count prospecting. Respects the current filter context.","Calculates the number of accounts in the Prospecting step within the current reporting context.",""
"meas.ssr_history_acct_count_untouched","KEEP","Count of ssr history acct count untouched. Respects the current filter context.","Calculates the number of accounts in Untouched where step is Untouched.","CALCULATE(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), ssr_history[step_name] =""Untouched"") // gettting the disticnt count of id for Untouched"
"meas.ssr_history_accts_per_rep","KEEP","Measure calculating ssr history accts per rep. Respects the current filter context.","Calculates the number of accounts per rep.","var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]))       // get the count of the id
			var reps = [meas.data_logs_user_count_eop] // get the count of the reps
			var res = divide (accounts, reps,BLANK())       // get the ratio 
			return res"
"meas.ssr_history_accts_per_rep_existing_business","KEEP","Measure calculating ssr history accts per rep existing business. Respects the current filter context.","Average number of accounts per rep in Post-Sales Support + Existing Customer Selling.","var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), 
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""})      // distinct count of Post-Sales support and Existing Customer Selling
			var reps = calculate(DISTINCTCOUNT(ssr_history[step_owner_id]),
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""})      // total reps count of Post-Sales Support and Existing Customer Selling
			var res = divide (accounts, reps,BLANK())       // get the ratio
			return res"
"meas.ssr_history_accts_per_rep_existing_business_supported","KEEP","Measure calculating ssr history accts per rep existing business supported. Respects the current filter context.","Average number of won accounts per rep in Post-Sales Support + Existing Customer Selling.","var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), 
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""}
			        && ssr_history[step_outcome] IN {
			        ""Churned"",
			        ""Started Existing Customer Selling"",
			        ""Closed Lost"",
			        ""Closed Won""}
			       ) // all outcomes for the step filtering with Post-Sales Support and Existing Customer Selling
			var reps = calculate(DISTINCTCOUNT(ssr_history[step_owner_id]),
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""})      // get the reps count filtering with Post-Sales Support and Existing Customer Selling
			var res = divide (accounts, reps,BLANK())           // ratio
			return res"
"meas.ssr_history_accts_per_rep_existing_business_upsold_to","KEEP","Measure calculating ssr history accts per rep existing business upsold to. Respects the current filter context.","Average number of won accounts per rep in Post-Sales Support + Existing Customer Selling.","var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), 
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""}
			        && ssr_history[step_outcome] IN {
			        ""Started Upselling"",
			        ""Closed Lost"",
			        ""Closed Won""}
			       ) // all started selling filtering with Post-Sales Support and Existing Customer Selling
			var reps = calculate(DISTINCTCOUNT(ssr_history[step_owner_id]),
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""})      // get the reps count for Post-Sales Support and Existing Customer Selling
			var res = divide (accounts, reps,BLANK())       // get the ratio
			return res"
"meas.ssr_history_accts_per_rep_existing_business_won","KEEP","Measure calculating ssr history accts per rep existing business won. Respects the current filter context.","Average number of won accounts per rep in Post-Sales Support + Existing Customer Selling.","var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), 
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""}
			        && ssr_history[step_outcome] IN {
			        ""Closed Won""}
			       ) // only won count for Post-Sales Support and Existing Customer Selling
			var reps = calculate(DISTINCTCOUNT(ssr_history[step_owner_id]),
			        ssr_history[step_name] IN {""Post-Sales Support"", ""Existing Customer Selling""})  // get the reps count for Post-Sales Support and Existing Customer Selling
			var res = divide (accounts, reps,BLANK())       // get thr ratio
			return res"
"meas.ssr_history_accts_per_rep_existing_customer_selling","KEEP","Measure calculating ssr history accts per rep existing customer selling. Respects the current filter context.","Average number of accounts per rep.","// var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]),ssr_history[step_name] = ""Existing Customer Selling"")
			// var reps = calculate(DISTINCTCOUNT(ssr_history[step_owner_id]),ssr_history[step_name] = ""Existing Customer Selling"")
			
			var accounts = CALCULATE(
			    [meas.ssr_history_ssr_id_count],
			    ssr_history[step_name] = ""Existing Customer Selling""
			)       // get the existing customer selling accounts count
			var reps = [meas.ssr_history_reps_existing_customer_selling]    // get the reps count of existing customer selling
			var ratio = divide (accounts, reps,BLANK())         // get the ratio
			var res = if (ratio > 100, round(ratio / 10, 0) * 10  , round(ratio, 0) ) // clean up a little
			return res"
"meas.ssr_history_accts_per_rep_new_business","KEEP","Measure calculating ssr history accts per rep new business. Respects the current filter context.","Average number of accounts per rep in Untouched + Prospecting + New Logo Selling.","var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), 
			        ssr_history[step_name] IN {""Untouched"", ""Prospecting"", ""New Logo Selling""}
			       )  // all outcomes 
			        
			var reps = calculate(DISTINCTCOUNT(ssr_history[step_owner_id]),ssr_history[step_name] IN {""Untouched"", ""Prospecting"", ""New Logo Selling""}) // keep all reps here
			var res = divide (accounts, reps,BLANK())
			return res"
"meas.ssr_history_accts_per_rep_new_business_prospected_to","KEEP","Measure calculating ssr history accts per rep new business prospected to. Respects the current filter context.","Average number of won accounts per rep in Untouched + Prospecting + New Logo Selling.","var accounts = calculate(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), 
			        ssr_history[step_name] IN {""Untouched"", ""Prospecting"", ""New Logo Selling""}
			        && ssr_history[step_outcome] IN {
			       ""Prospecting"",
			        ""Abandoned"",
			        ""Converted"",
			        ""Disqualified"",
			        ""Closed Lost"",
			        ""Closed Won""
			       
			        })  // all outcomes post touching 
			        
			var reps = calculate(DISTINCTCOUNT(ssr_history[step_owner_id]),ssr_history[step_name] IN {""Untouched"", ""Prospecting"", ""New Logo Selling""}) // keep all reps here
			var res = divide (accounts, reps,BLANK())
			return res"
